 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
02:20 08.01.2019 	 0,82 	 0,82 	 3 	 3 	 136 	 1,6 	  
02:10 08.01.2019 	 0,77 	 0,78 	 2 	 3 	 134 	 1,8 	  
02:00 08.01.2019 	 0,74 	 0,72 	 2 	 3 	 130 	 2 	  
01:50 08.01.2019 	 0,71 	 0,71 	 3 	 3 	 124 	 2,1 	  
01:40 08.01.2019 	 0,69 	 0,7 	 3 	 3 	 122 	 2,1 	  
01:30 08.01.2019 	 0,69 	 0,7 	 3 	 3 	 122 	 2,1 	  
01:20 08.01.2019 	 0,7 	 0,71 	 3 	 3 	 117 	 2 	  
01:10 08.01.2019 	 0,72 	 0,75 	 2 	 3 	 137 	 2,2 	  
01:00 08.01.2019 	 0,76 	 0,78 	 2 	 3 	 141 	 2,3 	  
00:50 08.01.2019 	 0,8 	 0,81 	 2 	 3 	 161 	 2,6 	  
00:40 08.01.2019 	 0,86 	 0,85 	 3 	 3 	 195 	 3,2 	  
00:30 08.01.2019 	 0,93 	 0,94 	 3 	 4 	 199 	 3,1 	  
00:20 08.01.2019 	 1 	 1,03 	 3 	 4 	 197 	 3,1 	  
00:10 08.01.2019 	 1,09 	 1,14 	 3 	 4 	 197 	 3,1 	  
00:00 08.01.2019 	 1,19 	 1,23 	 3 	 4 	 198 	 3,2 	  
23:50 07.01.2019 	 1,29 	 1,31 	 3 	 4 	 199 	 3,3 	  
23:40 07.01.2019 	 1,4 	 1,43 	 2 	 3 	 200 	 3,4 	  
23:30 07.01.2019 	 1,51 	 1,54 	 2 	 3 	 204 	 3,5 	  
23:20 07.01.2019 	 1,63 	 1,67 	 3 	 3 	 205 	 3,6 	  
23:10 07.01.2019 	 1,76 	 1,8 	 2 	 3 	 214 	 3,7 	  
23:00 07.01.2019 	 1,88 	 1,95 	 3 	 4 	 211 	 3,8 	  
22:50 07.01.2019 	 2,01 	 2,05 	 3 	 4 	 217 	 3,8 	  
22:40 07.01.2019 	 2,14 	 2,22 	 4 	 5 	 264 	 4,4 	  
22:30 07.01.2019 	 2,26 	 2,33 	 4 	 6 	 263 	 4,3 	  
22:20 07.01.2019 	 2,39 	 2,46 	 5 	 6 	 264 	 4,3 	  
22:10 07.01.2019 	 2,51 	 2,6 	 5 	 6 	 270 	 4,3 	  
22:00 07.01.2019 	 2,63 	 2,71 	 5 	 6 	 273 	 4,3 	  
21:50 07.01.2019 	 2,75 	 2,86 	 5 	 6 	 275 	 4,3 	  
21:40 07.01.2019 	 2,86 	 3 	 5 	 5 	 273 	 4,2 	  
21:30 07.01.2019 	 2,97 	 3,1 	 5 	 6 	 276 	 4,3 	  
21:20 07.01.2019 	 3,07 	 3,23 	 5 	 6 	 277 	 4,3 	  
21:10 07.01.2019 	 3,16 	 3,33 	 5 	 6 	 281 	 4,3 	  
21:00 07.01.2019 	 3,25 	 3,41 	 6 	 7 	 282 	 4,3 	  
20:50 07.01.2019 	 3,33 	 3,5 	 6 	 7 	 282 	 4,4 	  
20:40 07.01.2019 	 3,4 	 3,57 	 6 	 7 	 281 	 4,3 	  
20:30 07.01.2019 	 3,46 	 3,64 	 6 	 7 	 283 	 4,3 	  
20:20 07.01.2019 	 3,51 	 3,71 	 7 	 8 	 286 	 4,4 	  
20:10 07.01.2019 	 3,56 	 3,77 	 7 	 8 	 288 	 4,4 	  
20:00 07.01.2019 	 3,6 	 3,78 	 7 	 9 	 287 	 4,4 	  
19:50 07.01.2019 	 3,62 	 3,82 	 7 	 8 	 288 	 4,4 	  
19:40 07.01.2019 	 3,64 	 3,8 	 7 	 9 	 286 	 4,4 	  
19:30 07.01.2019 	 3,64 	 3,78 	 7 	 9 	 286 	 4,4 	  
19:20 07.01.2019 	 3,64 	 3,76 	 8 	 11 	 284 	 4,4 	  
19:10 07.01.2019 	 3,63 	 3,73 	 9 	 11 	 282 	 4,4 	  
19:00 07.01.2019 	 3,6 	 3,71 	 8 	 10 	 284 	 4,4 	  
18:50 07.01.2019 	 3,57 	 3,69 	 9 	 11 	 279 	 4,4 	  
18:40 07.01.2019 	 3,52 	 3,64 	 9 	 11 	 279 	 4,3 	  
18:30 07.01.2019 	 3,47 	 3,59 	 9 	 11 	 284 	 4,4 	  
18:20 07.01.2019 	 3,4 	 3,53 	 9 	 11 	 282 	 4,3 	  
18:10 07.01.2019 	 3,33 	 3,44 	 8 	 11 	 281 	 4,3 	  
18:00 07.01.2019 	 3,25 	 3,37 	 9 	 11 	 283 	 4,3 	  
17:50 07.01.2019 	 3,16 	 3,27 	 9 	 12 	 278 	 4,3 	  
17:40 07.01.2019 	 3,06 	 3,17 	 7 	 9 	 275 	 4,2 	  
17:30 07.01.2019 	 2,96 	 3,07 	 9 	 11 	 276 	 4,1 	  
17:20 07.01.2019 	 2,85 	 2,93 	 8 	 10 	 273 	 4,1 	  
17:10 07.01.2019 	 2,73 	 2,81 	 9 	 11 	 274 	 4,2 	  
17:00 07.01.2019 	 2,61 	 2,66 	 9 	 11 	 277 	 4,2 	  
16:50 07.01.2019 	 2,49 	 2,53 	 9 	 12 	 274 	 4,1 	  
16:40 07.01.2019 	 2,36 	 2,38 	 10 	 12 	 273 	 4,1 	  
16:30 07.01.2019 	 2,23 	 2,24 	 9 	 12 	 274 	 4,1 	  
16:20 07.01.2019 	 2,1 	 2,1 	 9 	 11 	 271 	 4 	  
16:10 07.01.2019 	 1,97 	 1,96 	 9 	 11 	 272 	 4 	  
16:00 07.01.2019 	 1,85 	 1,83 	 9 	 12 	 274 	 4 	  
15:50 07.01.2019 	 1,72 	 1,7 	 9 	 12 	 275 	 3,9 	  
15:40 07.01.2019 	 1,6 	 1,55 	 9 	 12 	 275 	 3,9 	  
15:30 07.01.2019 	 1,48 	 1,45 	 10 	 13 	 281 	 3,9 	  
15:20 07.01.2019 	 1,36 	 1,36 	 11 	 14 	 279 	 4 	  
15:10 07.01.2019 	 1,26 	 1,29 	 9 	 11 	 281 	 3,9 	  
15:00 07.01.2019 	 1,16 	 1,21 	 10 	 12 	 284 	 3,9 	  
14:50 07.01.2019 	 1,06 	 1,11 	 10 	 11 	 288 	 3,9 	  
14:40 07.01.2019 	 0,98 	 1,01 	 9 	 11 	 287 	 3,9 	  
14:30 07.01.2019 	 0,9 	 0,94 	 9 	 11 	 291 	 3,8 	  
14:20 07.01.2019 	 0,84 	 0,88 	 7 	 9 	 287 	 3,6 	  
14:10 07.01.2019 	 0,78 	 0,84 	 7 	 9 	 286 	 3,6 	  
14:00 07.01.2019 	 0,74 	 0,8 	 6 	 8 	 289 	 3,5 	  
13:50 07.01.2019 	 0,71 	 0,75 	 6 	 7 	 291 	 3,4 	  
13:40 07.01.2019 	 0,69 	 0,72 	 7 	 8 	 295 	 3,5 	  
13:30 07.01.2019 	 0,69 	 0,72 	 7 	 9 	 293 	 3,4 	  
13:20 07.01.2019 	 0,69 	 0,73 	 9 	 13 	 293 	 3,4 	  
13:10 07.01.2019 	 0,71 	 0,76 	 9 	 12 	 293 	 3,3 	  
13:00 07.01.2019 	 0,74 	 0,79 	 11 	 14 	 290 	 3,3 	  
12:50 07.01.2019 	 0,79 	 0,85 	 11 	 13 	 290 	 3,3 	  
12:40 07.01.2019 	 0,84 	 0,93 	 12 	 14 	 293 	 3,3 	  
12:30 07.01.2019 	 0,91 	 1,04 	 12 	 15 	 291 	 3,4 	  
12:20 07.01.2019 	 0,99 	 1,11 	 12 	 14 	 288 	 3,3 	  
12:10 07.01.2019 	 1,08 	 1,23 	 12 	 14 	 288 	 3,4 	  
12:00 07.01.2019 	 1,18 	 1,33 	 12 	 15 	 287 	 3,4 	  
11:50 07.01.2019 	 1,29 	 1,42 	 9 	 11 	 295 	 3,6 	  
11:40 07.01.2019 	 1,4 	 1,53 	 11 	 13 	 291 	 3,6 	  
11:30 07.01.2019 	 1,52 	 1,65 	 12 	 15 	 292 	 3,6 	  
11:20 07.01.2019 	 1,65 	 1,75 	 10 	 12 	 293 	 3,6 	  
11:10 07.01.2019 	 1,78 	 1,89 	 10 	 13 	 295 	 3,6 	  
11:00 07.01.2019 	 1,92 	 2,02 	 12 	 15 	 288 	 3,6 	  
10:50 07.01.2019 	 2,06 	 2,17 	 13 	 15 	 289 	 3,6 	  
10:40 07.01.2019 	 2,2 	 2,28 	 11 	 13 	 298 	 3,7 	  
10:30 07.01.2019 	 2,34 	 2,4 	 10 	 12 	 302 	 3,6 	  
10:20 07.01.2019 	 2,47 	 2,51 	 10 	 13 	 300 	 3,6 	  
10:10 07.01.2019 	 2,61 	 2,66 	 10 	 12 	 302 	 3,6 	  
10:00 07.01.2019 	 2,75 	 2,79 	 11 	 13 	 306 	 3,5 	  
09:50 07.01.2019 	 2,88 	 2,95 	 12 	 14 	 301 	 3,4 	  
09:40 07.01.2019 	 3 	 3,11 	 13 	 16 	 298 	 3,5 	  
09:30 07.01.2019 	 3,13 	 3,24 	 13 	 16 	 297 	 3,5 	  
09:20 07.01.2019 	 3,24 	 3,36 	 13 	 15 	 296 	 3,5 	  
09:10 07.01.2019 	 3,35 	 3,48 	 14 	 16 	 291 	 3,5 	  
09:00 07.01.2019 	 3,45 	 3,61 	 14 	 18 	 296 	 3,5 	  
08:50 07.01.2019 	 3,55 	 3,73 	 14 	 18 	 297 	 3,4 	  
08:40 07.01.2019 	 3,63 	 3,84 	 14 	 17 	 299 	 3,4 	  
08:30 07.01.2019 	 3,71 	 3,94 	 13 	 17 	 295 	 3,5 	  
08:20 07.01.2019 	 3,78 	 3,99 	 14 	 19 	 293 	 3,4 	  
08:10 07.01.2019 	 3,84 	 4,04 	 14 	 18 	 294 	 3,6 	  
08:00 07.01.2019 	 3,89 	 4,04 	 13 	 16 	 304 	 3,8 	  
07:50 07.01.2019 	 3,93 	 4,09 	 15 	 18 	 309 	 3,8 	  
07:40 07.01.2019 	 3,96 	 4,1 	 15 	 17 	 306 	 3,8 	  
07:30 07.01.2019 	 3,98 	 4,14 	 14 	 16 	 305 	 3,8 	  
07:20 07.01.2019 	 3,99 	 4,15 	 12 	 15 	 304 	 3,8 	  
07:10 07.01.2019 	 3,99 	 4,15 	 13 	 16 	 308 	 3,7 	  
07:00 07.01.2019 	 3,98 	 4,14 	 14 	 17 	 309 	 3,7 	  
06:50 07.01.2019 	 3,96 	 4,11 	 15 	 18 	 309 	 3,8 	  
06:40 07.01.2019 	 3,92 	 4,11 	 15 	 18 	 310 	 3,8 	  
06:30 07.01.2019 	 3,88 	 4,08 	 14 	 18 	 306 	 3,8 	  
06:20 07.01.2019 	 3,83 	 4,07 	 14 	 18 	 307 	 3,8 	  
06:10 07.01.2019 	 3,77 	 4,03 	 12 	 17 	 314 	 3,8 	  
06:00 07.01.2019 	 3,69 	 3,95 	 13 	 17 	 312 	 3,5 	  
05:50 07.01.2019 	 3,61 	 3,87 	 13 	 17 	 308 	 3,7 	  
05:40 07.01.2019 	 3,52 	 3,77 	 13 	 15 	 306 	 3,7 	  
05:30 07.01.2019 	 3,42 	 3,67 	 13 	 15 	 305 	 3,7 	  
05:20 07.01.2019 	 3,32 	 3,57 	 11 	 15 	 310 	 3,7 	  
05:10 07.01.2019 	 3,2 	 3,45 	 11 	 14 	 316 	 3,2 	  
05:00 07.01.2019 	 3,09 	 3,33 	 13 	 16 	 322 	 3 	  
04:50 07.01.2019 	 2,96 	 3,22 	 15 	 18 	 319 	 3 	  
04:40 07.01.2019 	 2,83 	 3,07 	 15 	 19 	 307 	 3,3 	  
04:30 07.01.2019 	 2,7 	 2,9 	 12 	 16 	 299 	 3,8 	  
04:20 07.01.2019 	 2,57 	 2,77 	 11 	 15 	 304 	 3,8 	  
04:10 07.01.2019 	 2,43 	 2,62 	 4 	 12 	 270 	 3,5 	  
04:00 07.01.2019 	 2,29 	 2,49 	 1 	 2 	 128 	 2,6 	  
03:50 07.01.2019 	 2,15 	 2,32 	 2 	 2 	 136 	 2,7 	  
03:40 07.01.2019 	 2,02 	 2,16 	 1 	 2 	 139 	 2,7 	  
03:30 07.01.2019 	 1,88 	 2,02 	 1 	 1 	 138 	 2,7 	  
03:20 07.01.2019 	 1,75 	 1,89 	 1 	 1 	 133 	 2,7 	  
03:10 07.01.2019 	 1,62 	 1,78 	 1 	 1 	 128 	 2,8 	  
03:00 07.01.2019 	 1,5 	 1,67 	 1 	 2 	 113 	 2,8 	  
02:50 07.01.2019 	 1,38 	 1,54 	 1 	 1 	 144 	 2,8 	  
02:40 07.01.2019 	 1,27 	 1,44 	 1 	 1 	 180 	 2,8 	  
02:30 07.01.2019 	 1,17 	 1,35 	 1 	 2 	 163 	 2,8 	  
02:20 07.01.2019 	 1,07 	 1,23 	 2 	 2 	 112 	 2,9 	  
02:10 07.01.2019 	 0,99 	 1,14 	 2 	 3 	 114 	 2,9 	  
02:00 07.01.2019 	 0,91 	 1,05 	 2 	 3 	 118 	 2,9 	  
01:50 07.01.2019 	 0,85 	 0,99 	 2 	 3 	 116 	 2,9 	  
01:40 07.01.2019 	 0,79 	 0,96 	 2 	 3 	 111 	 2,9 	  
01:30 07.01.2019 	 0,75 	 0,95 	 2 	 3 	 109 	 2,7 	  
01:20 07.01.2019 	 0,72 	 0,88 	 3 	 4 	 91 	 2,7 	  
01:10 07.01.2019 	 0,7 	 0,86 	 3 	 4 	 88 	 2,7 	  
01:00 07.01.2019 	 0,69 	 0,85 	 4 	 5 	 89 	 2,7 	  
00:50 07.01.2019 	 0,7 	 0,85 	 4 	 5 	 87 	 2,8 	  
00:40 07.01.2019 	 0,71 	 0,91 	 5 	 6 	 88 	 2,9 	  
00:30 07.01.2019 	 0,74 	 0,94 	 4 	 5 	 88 	 2,9 	  
00:20 07.01.2019 	 0,78 	 0,98 	 4 	 6 	 84 	 2,9 	  
00:10 07.01.2019 	 0,84 	 1,03 	 5 	 6 	 85 	 2,9 	  
00:00 07.01.2019 	 0,9 	 1,09 	 5 	 7 	 82 	 2,9 	  
23:50 06.01.2019 	 0,97 	 1,16 	 4 	 5 	 82 	 3,1 	  
23:40 06.01.2019 	 1,06 	 1,26 	 4 	 5 	 86 	 3,1 	  
23:30 06.01.2019 	 1,15 	 1,35 	 5 	 7 	 92 	 3,1 	  
23:20 06.01.2019 	 1,25 	 1,47 	 6 	 8 	 101 	 3,7 	  
23:10 06.01.2019 	 1,35 	 1,62 	 5 	 8 	 97 	 3,8 	  
23:00 06.01.2019 	 1,47 	 1,73 	 6 	 7 	 100 	 3,8 	  
22:50 06.01.2019 	 1,58 	 1,86 	 6 	 7 	 108 	 4 	  
22:40 06.01.2019 	 1,7 	 1,99 	 6 	 8 	 110 	 4,1 	  
22:30 06.01.2019 	 1,83 	 2,12 	 5 	 6 	 109 	 4 	  
22:20 06.01.2019 	 1,95 	 2,23 	 5 	 6 	 110 	 4 	  
22:10 06.01.2019 	 2,08 	 2,35 	 4 	 5 	 109 	 4,1 	  
22:00 06.01.2019 	 2,2 	 2,48 	 4 	 5 	 107 	 4,2 	  
21:50 06.01.2019 	 2,33 	 2,61 	 4 	 6 	 99 	 4,2 	  
21:40 06.01.2019 	 2,45 	 2,75 	 4 	 5 	 110 	 4,2 	  
21:30 06.01.2019 	 2,57 	 2,85 	 4 	 5 	 127 	 4,6 	  
21:20 06.01.2019 	 2,69 	 2,98 	 5 	 6 	 130 	 4,7 	  
21:10 06.01.2019 	 2,8 	 3,07 	 4 	 6 	 129 	 4,8 	  
21:00 06.01.2019 	 2,91 	 3,19 	 5 	 7 	 129 	 4,9 	  
20:50 06.01.2019 	 3,01 	 3,31 	 5 	 7 	 133 	 5 	  
20:40 06.01.2019 	 3,11 	 3,43 	 5 	 7 	 133 	 5,3 	  
20:30 06.01.2019 	 3,2 	 3,52 	 5 	 7 	 126 	 4,8 	  
20:20 06.01.2019 	 3,28 	 3,61 	 6 	 8 	 131 	 5,3 	  
20:10 06.01.2019 	 3,35 	 3,7 	 6 	 8 	 130 	 5,3 	  
20:00 06.01.2019 	 3,42 	 3,74 	 6 	 7 	 126 	 5,2 	  
19:50 06.01.2019 	 3,48 	 3,82 	 5 	 6 	 128 	 5,3 	  
19:40 06.01.2019 	 3,53 	 3,86 	 4 	 5 	 113 	 5,1 	  
19:30 06.01.2019 	 3,57 	 3,89 	 3 	 4 	 118 	 5,1 	  
19:20 06.01.2019 	 3,6 	 3,91 	 4 	 6 	 130 	 5,2 	  
19:10 06.01.2019 	 3,62 	 3,93 	 4 	 6 	 135 	 5,3 	  
19:00 06.01.2019 	 3,63 	 3,92 	 5 	 7 	 135 	 5,3 	  
18:50 06.01.2019 	 3,63 	 3,9 	 4 	 7 	 139 	 5,4 	  
18:40 06.01.2019 	 3,62 	 3,86 	 4 	 5 	 137 	 5,3 	  
18:30 06.01.2019 	 3,6 	 3,84 	 4 	 5 	 129 	 5,1 	  
18:20 06.01.2019 	 3,57 	 3,76 	 5 	 6 	 135 	 5,3 	  
18:10 06.01.2019 	 3,53 	 3,7 	 5 	 8 	 139 	 5,3 	  
18:00 06.01.2019 	 3,48 	 3,63 	 5 	 7 	 138 	 5,4 	  
17:50 06.01.2019 	 3,42 	 3,59 	 5 	 7 	 142 	 5,5 	  
17:40 06.01.2019 	 3,35 	 3,53 	 6 	 10 	 143 	 5,5 	  
17:30 06.01.2019 	 3,28 	 3,43 	 6 	 9 	 141 	 5,4 	  
17:20 06.01.2019 	 3,19 	 3,35 	 6 	 8 	 140 	 5,2 	  
17:10 06.01.2019 	 3,1 	 3,24 	 5 	 8 	 132 	 5,2 	  
17:00 06.01.2019 	 3 	 3,15 	 5 	 6 	 134 	 4,8 	  
16:50 06.01.2019 	 2,89 	 3,04 	 6 	 7 	 124 	 4,8 	  
16:40 06.01.2019 	 2,78 	 2,91 	 5 	 6 	 130 	 4,7 	  
16:30 06.01.2019 	 2,67 	 2,8 	 5 	 7 	 132 	 4,9 	  
16:20 06.01.2019 	 2,55 	 2,66 	 4 	 6 	 132 	 4,6 	  
16:10 06.01.2019 	 2,42 	 2,54 	 4 	 5 	 135 	 4,6 	  
16:00 06.01.2019 	 2,29 	 2,4 	 4 	 5 	 131 	 4,7 	  
15:50 06.01.2019 	 2,17 	 2,27 	 4 	 5 	 134 	 4,7 	  
15:40 06.01.2019 	 2,04 	 2,12 	 3 	 6 	 151 	 5,1 	  
15:30 06.01.2019 	 1,91 	 1,98 	 4 	 9 	 162 	 5 	  
15:20 06.01.2019 	 1,78 	 1,83 	 4 	 7 	 149 	 5 	  
15:10 06.01.2019 	 1,66 	 1,71 	 6 	 11 	 170 	 4,9 	  
15:00 06.01.2019 	 1,54 	 1,6 	 4 	 10 	 155 	 5,1 	  
14:50 06.01.2019 	 1,43 	 1,48 	 4 	 6 	 137 	 5 	  
14:40 06.01.2019 	 1,32 	 1,38 	 4 	 8 	 140 	 5 	  
14:30 06.01.2019 	 1,21 	 1,28 	 4 	 6 	 125 	 4,9 	  
14:20 06.01.2019 	 1,12 	 1,15 	 4 	 5 	 132 	 4,3 	  
14:10 06.01.2019 	 1,03 	 1,07 	 4 	 6 	 142 	 4,4 	  
14:00 06.01.2019 	 0,95 	 0,97 	 4 	 6 	 142 	 4,5 	  
13:50 06.01.2019 	 0,88 	 0,93 	 4 	 6 	 146 	 4,5 	  
13:40 06.01.2019 	 0,82 	 0,9 	 4 	 7 	 142 	 4,4 	  
13:30 06.01.2019 	 0,78 	 0,84 	 5 	 9 	 139 	 4,3 	  
13:20 06.01.2019 	 0,74 	 0,81 	 4 	 6 	 141 	 3,9 	  
13:10 06.01.2019 	 0,72 	 0,76 	 4 	 7 	 151 	 4,2 	  
13:00 06.01.2019 	 0,71 	 0,75 	 3 	 6 	 143 	 4 	  
12:50 06.01.2019 	 0,71 	 0,75 	 3 	 5 	 141 	 4 	  
12:40 06.01.2019 	 0,72 	 0,79 	 3 	 5 	 151 	 4,2 	  
12:30 06.01.2019 	 0,75 	 0,81 	 3 	 6 	 162 	 4 	  
12:20 06.01.2019 	 0,78 	 0,86 	 3 	 6 	 172 	 3,9 	  
12:10 06.01.2019 	 0,84 	 0,9 	 4 	 7 	 157 	 3,9 	  
12:00 06.01.2019 	 0,9 	 0,97 	 3 	 5 	 140 	 3,6 	  
11:50 06.01.2019 	 0,97 	 1,06 	 3 	 4 	 143 	 3,4 	  
11:40 06.01.2019 	 1,05 	 1,13 	 2 	 4 	 180 	 3,4 	  
11:30 06.01.2019 	 1,15 	 1,21 	 2 	 6 	 154 	 3,2 	  
11:20 06.01.2019 	 1,25 	 1,34 	 2 	 4 	 119 	 3,3 	  
11:10 06.01.2019 	 1,36 	 1,48 	 1 	 2 	 102 	 3,3 	  
11:00 06.01.2019 	 1,48 	 1,61 	 1 	 3 	 180 	 3,1 	  
10:50 06.01.2019 	 1,6 	 1,73 	 3 	 5 	 208 	 3,3 	  
10:40 06.01.2019 	 1,73 	 1,85 	 2 	 5 	 211 	 3,2 	  
10:30 06.01.2019 	 1,86 	 1,96 	 3 	 5 	 187 	 3,3 	  
10:20 06.01.2019 	 1,99 	 2,13 	 2 	 5 	 175 	 3,2 	  
10:10 06.01.2019 	 2,13 	 2,27 	 3 	 5 	 192 	 3,4 	  
10:00 06.01.2019 	 2,27 	 2,39 	 3 	 6 	 192 	 3,2 	  
09:50 06.01.2019 	 2,4 	 2,51 	 3 	 6 	 186 	 3,2 	  
09:40 06.01.2019 	 2,54 	 2,6 	 3 	 5 	 190 	 3 	  
09:30 06.01.2019 	 2,67 	 2,74 	 2 	 5 	 187 	 2,8 	  
09:20 06.01.2019 	 2,81 	 2,87 	 2 	 3 	 160 	 2,3 	  
09:10 06.01.2019 	 2,93 	 3,02 	 3 	 5 	 179 	 2,4 	  
09:00 06.01.2019 	 3,05 	 3,11 	 3 	 4 	 183 	 2,3 	  
08:50 06.01.2019 	 3,17 	 3,26 	 3 	 5 	 202 	 2,5 	  
08:40 06.01.2019 	 3,28 	 3,39 	 4 	 7 	 210 	 2,6 	  
08:30 06.01.2019 	 3,39 	 3,5 	 4 	 7 	 203 	 2,6 	  
08:20 06.01.2019 	 3,48 	 3,63 	 3 	 5 	 193 	 2,2 	  
08:10 06.01.2019 	 3,57 	 3,69 	 4 	 5 	 190 	 2 	  
08:00 06.01.2019 	 3,65 	 3,82 	 4 	 7 	 195 	 1,7 	  
07:50 06.01.2019 	 3,73 	 3,89 	 4 	 7 	 195 	 1,7 	  
07:40 06.01.2019 	 3,79 	 3,97 	 5 	 9 	 187 	 1,7 	  
07:30 06.01.2019 	 3,84 	 4,02 	 3 	 6 	 191 	 1,8 	  
07:20 06.01.2019 	 3,89 	 4,1 	 5 	 8 	 201 	 2,2 	  
07:10 06.01.2019 	 3,92 	 4,12 	 6 	 10 	 217 	 2,4 	  
07:00 06.01.2019 	 3,94 	 4,12 	 5 	 8 	 224 	 2,8 	  
06:50 06.01.2019 	 3,96 	 4,13 	 5 	 8 	 224 	 2,7 	  
06:40 06.01.2019 	 3,96 	 4,13 	 5 	 8 	 216 	 2,6 	  
06:30 06.01.2019 	 3,96 	 4,11 	 4 	 7 	 209 	 2,6 	  
06:20 06.01.2019 	 3,94 	 4,12 	 4 	 6 	 207 	 2,3 	  
06:10 06.01.2019 	 3,91 	 4,08 	 3 	 6 	 203 	 2,2 	  
06:00 06.01.2019 	 3,87 	 4,04 	 3 	 6 	 191 	 2 	  
05:50 06.01.2019 	 3,83 	 3,99 	 3 	 5 	 175 	 1,8 	  
05:40 06.01.2019 	 3,77 	 3,91 	 4 	 7 	 197 	 1,9 	  
05:30 06.01.2019 	 3,7 	 3,87 	 4 	 6 	 205 	 2,1 	  
05:20 06.01.2019 	 3,63 	 3,78 	 4 	 7 	 208 	 2,1 	  
05:10 06.01.2019 	 3,54 	 3,73 	 5 	 10 	 218 	 2 	  
05:00 06.01.2019 	 3,45 	 3,62 	 9 	 15 	 226 	 1,7 	  
04:50 06.01.2019 	 3,35 	 3,51 	 4 	 9 	 202 	 2,4 	  
04:40 06.01.2019 	 3,24 	 3,36 	 3 	 5 	 202 	 2,4 	  
04:30 06.01.2019 	 3,13 	 3,25 	 4 	 6 	 213 	 2,4 	  
04:20 06.01.2019 	 3,01 	 3,14 	 4 	 7 	 211 	 2,4 	  
04:10 06.01.2019 	 2,88 	 3 	 6 	 8 	 215 	 2,4 	  
04:00 06.01.2019 	 2,76 	 2,87 	 5 	 8 	 215 	 2,6 	  
03:50 06.01.2019 	 2,62 	 2,7 	 4 	 7 	 210 	 2,8 	  
03:40 06.01.2019 	 2,49 	 2,52 	 4 	 8 	 200 	 2,7 	  
03:30 06.01.2019 	 2,36 	 2,36 	 3 	 6 	 195 	 2,5 	  
03:20 06.01.2019 	 2,22 	 2,24 	 3 	 6 	 206 	 2,4 	  
03:10 06.01.2019 	 2,08 	 2,06 	 5 	 7 	 215 	 2,4 	  
03:00 06.01.2019 	 1,95 	 1,93 	 4 	 8 	 219 	 2 	  
02:50 06.01.2019 	 1,82 	 1,79 	 7 	 14 	 224 	 1,7 	  
02:40 06.01.2019 	 1,69 	 1,7 	 7 	 15 	 215 	 2,4 	  
02:30 06.01.2019 	 1,57 	 1,63 	 6 	 10 	 216 	 3 	  
02:20 06.01.2019 	 1,45 	 1,49 	 6 	 9 	 213 	 3 	  
02:10 06.01.2019 	 1,34 	 1,38 	 6 	 9 	 212 	 2,8 	  
02:00 06.01.2019 	 1,24 	 1,33 	 6 	 9 	 211 	 2,5 	  
01:50 06.01.2019 	 1,14 	 1,22 	 7 	 11 	 215 	 2,2 	  
01:40 06.01.2019 	 1,05 	 1,13 	 7 	 10 	 218 	 2,8 	  
01:30 06.01.2019 	 0,97 	 1,08 	 4 	 7 	 204 	 2,9 	  
01:20 06.01.2019 	 0,9 	 1,01 	 4 	 7 	 205 	 2,8 	  
01:10 06.01.2019 	 0,85 	 0,95 	 5 	 9 	 203 	 2,5 	  
01:00 06.01.2019 	 0,8 	 0,9 	 6 	 10 	 204 	 2,5 	  
00:50 06.01.2019 	 0,76 	 0,86 	 4 	 8 	 211 	 2,7 	  
00:40 06.01.2019 	 0,74 	 0,88 	 5 	 7 	 228 	 2,6 	  
00:30 06.01.2019 	 0,73 	 0,86 	 4 	 7 	 206 	 2,3 	  
00:20 06.01.2019 	 0,73 	 0,86 	 5 	 8 	 214 	 2 	  
00:10 06.01.2019 	 0,74 	 0,89 	 7 	 11 	 225 	 2 	  
00:00 06.01.2019 	 0,76 	 0,88 	 7 	 14 	 220 	 2,2 	  
23:50 05.01.2019 	 0,8 	 0,91 	 6 	 9 	 211 	 2,5 	  
23:40 05.01.2019 	 0,85 	 1,01 	 7 	 11 	 215 	 2,4 	  
23:30 05.01.2019 	 0,9 	 1,01 	 5 	 10 	 211 	 2,8 	  
23:20 05.01.2019 	 0,97 	 1,08 	 5 	 9 	 216 	 2,4 	  
23:10 05.01.2019 	 1,04 	 1,18 	 6 	 11 	 217 	 2,3 	  
23:00 05.01.2019 	 1,13 	 1,29 	 4 	 7 	 206 	 2,1 	  
22:50 05.01.2019 	 1,22 	 1,38 	 5 	 8 	 205 	 2 	  
22:40 05.01.2019 	 1,32 	 1,52 	 4 	 7 	 206 	 1,8 	  
22:30 05.01.2019 	 1,43 	 1,6 	 5 	 9 	 215 	 1,5 	  
22:20 05.01.2019 	 1,54 	 1,74 	 7 	 14 	 224 	 1,3 	  
22:10 05.01.2019 	 1,65 	 1,88 	 6 	 11 	 221 	 1,4 	  
22:00 05.01.2019 	 1,77 	 1,98 	 5 	 9 	 211 	 2 	  
21:50 05.01.2019 	 1,89 	 2,1 	 6 	 9 	 207 	 1,9 	  
21:40 05.01.2019 	 2,01 	 2,21 	 6 	 11 	 212 	 2 	  
21:30 05.01.2019 	 2,13 	 2,32 	 6 	 10 	 215 	 1,8 	  
