 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
11:20 30.01.2019 	 1,86 	 -6999 	 -6999 	 7 	 10 	 62 	 1004 	 -2,2 	  
11:10 30.01.2019 	 1,8 	 -6999 	 -6999 	 7 	 10 	 64 	 1004 	 -2,1 	  
11:00 30.01.2019 	 1,74 	 -6999 	 -6999 	 7 	 10 	 65 	 1003 	 -2 	  
10:50 30.01.2019 	 1,69 	 -6999 	 -6999 	 7 	 10 	 64 	 1003 	 -2 	  
10:40 30.01.2019 	 1,63 	 -6999 	 -6999 	 7 	 10 	 63 	 1003 	 -2,2 	  
10:30 30.01.2019 	 1,58 	 -6999 	 -6999 	 7 	 9 	 57 	 1003 	 -3 	  
10:20 30.01.2019 	 1,53 	 -6999 	 -6999 	 7 	 9 	 55 	 1003 	 -3,2 	  
10:10 30.01.2019 	 1,47 	 -6999 	 -6999 	 6 	 10 	 59 	 1003 	 -2 	  
10:00 30.01.2019 	 1,42 	 -6999 	 -6999 	 5 	 9 	 54 	 1003 	 -2,3 	  
09:50 30.01.2019 	 1,38 	 -6999 	 -6999 	 5 	 7 	 50 	 1003 	 -2,9 	  
09:40 30.01.2019 	 1,34 	 -6999 	 -6999 	 5 	 7 	 55 	 1003 	 -2,7 	  
09:30 30.01.2019 	 1,3 	 -6999 	 -6999 	 6 	 9 	 64 	 1003 	 -2,9 	  
09:20 30.01.2019 	 1,26 	 -6999 	 -6999 	 7 	 9 	 56 	 1003 	 -2,9 	  
09:10 30.01.2019 	 1,23 	 -6999 	 -6999 	 6 	 9 	 48 	 1003 	 -2,9 	  
09:00 30.01.2019 	 1,2 	 -6999 	 -6999 	 6 	 9 	 41 	 1003 	 -3,1 	  
08:50 30.01.2019 	 1,18 	 -6999 	 -6999 	 7 	 10 	 38 	 1003 	 -3,3 	  
08:40 30.01.2019 	 1,16 	 -6999 	 -6999 	 9 	 12 	 31 	 1003 	 -3,3 	  
